Season_year	Season_div	Date	OPP	Result	T Score	O Score	MIN	FG	FGM	FGA	FG%	3PT	3PTM	3PTA	3P%	FT	FTM	FTA	FT%	REB	AST	BLK	STL	PF	TO	PTS	Points Range
2012-2013	Post	Sun 5/12	SAS	W	97	87	39	7-15	7	15	46.7	5-10	5	10	50	3-3	3	3	100	6	4	0	0	2	2	22	Under 30
2012-2013	Post	Fri 5/10	SAS	L	92	102	42	5-17	5	17	29.4	3-9	3	9	33.3	3-3	3	3	100	2	8	0	2	3	3	16	Under 30
2012-2013	Post	Mon 5/6	SAS	L	127	129	58	18-35	18	35	51.4	6-14	6	14	42.9	2-2	2	2	100	4	11	0	2	3	6	44	40+ Points
2012-2013	Post	Thu 5/2	DEN	W	92	88	42	6-14	6	14	42.9	4-8	4	8	50	6-6	6	6	100	4	8	0	2	3	7	22	Under 30
2012-2013	Post	Sun 4/28	DEN	W	115	101	33	10-16	10	16	62.5	6-11	6	11	54.5	5-5	5	5	100	3	7	0	4	4	2	31	30+ Points
2012-2013	Post	Fri 4/26	DEN	W	110	108	38	8-17	8	17	47.1	4-7	4	7	57.1	9-9	9	9	100	6	11	0	2	4	3	29	Under 30
2012-2013	Post	Sat 4/20	DEN	L	95	97	43	7-20	7	20	35	4-10	4	10	40	1-1	1	1	100	4	9	0	2	2	5	19	Under 30
2013-2014	Post	Sat 5/3	LAC	L	121	126	46	7-17	7	17	41.2	3-7	3	7	42.9	16-16	16	16	100	5	9	0	3	4	2	33	30+ Points
2013-2014	Post	Tue 4/29	LAC	L	103	113	44	5-10	5	10	50	4-7	4	7	57.1	3-3	3	3	100	3	4	0	2	2	8	17	Under 30
2013-2014	Post	Mon 4/21	LAC	L	98	138	31	9-17	9	17	52.9	1-7	1	7	14.3	5-5	5	5	100	1	8	0	2	4	2	24	Under 30
2014-2015	Post	Sun 6/14	CLE	W	104	91	42	13-23	13	23	56.5	7-13	7	13	53.8	4-4	4	4	100	7	4	0	2	2	5	37	30+ Points
2014-2015	Post	Thu 6/11	CLE	W	103	82	41	8-17	8	17	47.1	4-7	4	7	57.1	2-2	2	2	100	2	7	0	1	1	4	22	Under 30
2014-2015	Post	Thu 6/4	CLE	W	108	100	43	10-20	10	20	50	2-6	2	6	33.3	4-4	4	4	100	4	8	0	2	1	4	26	Under 30
2014-2015	Post	Mon 5/25	HOU	L	115	128	31	7-18	7	18	38.9	6-13	6	13	46.2	3-3	3	3	100	1	4	0	0	3	0	23	Under 30
